"id","totaldeclared","requestedbudget","overspentamount","overspent","project_number","budgetnumber"
travel permit 76734,"0.0","0.0","0.0",false,UNKNOWN,budget 1644
travel permit 62665,"0.0","277.8594658784601",-466.05325620047466,false,UNKNOWN,budget 4489
travel permit 42885,"0.0","889.6638826535693",-675.4959730742994,false,UNKNOWN,budget 922
travel permit 77044,"0.0","80.99491027633309",-98.6877192997044,false,UNKNOWN,budget 4164
travel permit 46103,"0.0","107.39318974168938",-164.90406283680827,false,UNKNOWN,budget 922
travel permit 38934,"0.0","2805.049278064201",-2951.8211699813714,false,project 38935,budget 2365
travel permit 26431,"0.0","1189.6345825006554",-1189.6345825006554,false,UNKNOWN,budget 899
travel permit 23179,"0.0","1797.162981046258",-1247.5748335785381,false,project 23180,budget 456
travel permit 54051,"0.0","5.0081727249553225",-4.346354008520192,false,UNKNOWN,budget 3678
travel permit 79144,"720.5929454183421","303.996965834533","208.8474755435118",true,UNKNOWN,budget 4164
travel permit 43134,"0.0","0.0","0.0",false,UNKNOWN,budget 922
travel permit 29309,"0.0","1664.912627816632",-1536.6018641965422,false,UNKNOWN,budget 1264
travel permit 863,"0.0","1335.3985532899042",-1547.565999198555,false,UNKNOWN,budget 864
travel permit 69539,"0.0","1232.0839662921278",-841.3769255966934,false,UNKNOWN,budget 3678
travel permit 73429,"0.0","17.106364286825205",-17.106364286825205,false,project 72080,budget 6198
travel permit 38751,"0.0","250.71806305423098",-415.03848790629644,false,UNKNOWN,budget 1755
travel permit 73110,"1763.7901359992184","2954.942164529712","354.7637363101187",true,project 10484,budget 529
travel permit 76857,"0.0","827.4271171291861",-671.877889315486,false,project 5095,budget 899
travel permit 84588,"0.0","0.0","0.0",false,UNKNOWN,budget 475
travel permit 455,"0.0","605.7182503424848",-294.3520001833134,false,project 457,budget 456
travel permit 49344,"0.0","124.88911427984053",-121.96766915283723,false,project 807,budget 440
travel permit 16451,"0.0","995.4928545942346",-414.60467551266464,false,UNKNOWN,budget 4489
travel permit 72617,"0.0","691.5807984091307",-1207.0590985635572,false,UNKNOWN,budget 3825
travel permit 7155,"0.0","3116.6930235885584",-1390.6389332942836,false,project 723,budget 722
travel permit 75459,"0.0","781.2643932990425",-792.9732023762713,false,UNKNOWN,budget 922
travel permit 52913,"0.0","688.115209638571",-796.5175668441899,false,project 29194,budget 1313
travel permit 38108,"0.0","118.87098667933591",-255.8994518864747,false,project 1417,budget 1370
travel permit 32749,"0.0","1232.0839662921278",-841.3769255966934,false,UNKNOWN,budget 3678
travel permit 77390,"0.0","787.8925464313363",-370.96955901350395,false,project 19992,budget 6198
travel permit 19473,"0.0","2162.830398567931",-2674.3125533639654,false,UNKNOWN,budget 1264
travel permit 1037,"0.0","363.71846059105377",-204.76416976402217,false,UNKNOWN,budget 592
travel permit 26396,"0.0","1322.434625143417",-989.7748976094601,false,project 12498,budget 1969
travel permit 85813,"0.0","1009.1549347501264",-877.5145500864679,false,UNKNOWN,budget 475
travel permit 921,"0.0","3920.6594993015988",-3424.0788868857785,false,project 923,budget 922
travel permit 11417,"0.0","1633.6379314771768",-1065.9043389172903,false,UNKNOWN,budget 899
travel permit 19698,"0.0","132.82515956018318",-82.25026620572619,false,UNKNOWN,budget 4732
travel permit 12190,"0.0","880.5783861836914",-900.9988816812606,false,project 7962,budget 1644
travel permit 12372,"0.0","366.33818146509236",-483.76018461921325,false,UNKNOWN,budget 3559
travel permit 12619,"0.0","2265.0524080547934",-2674.966329317219,false,project 12620,budget 761
travel permit 76102,"0.0","2021.5438722728434",-3528.326595801167,false,UNKNOWN,budget 1956
travel permit 62641,"0.0","272.34890985358436",-146.7353849064273,false,project 46021,budget 1021
travel permit 54418,"0.0","192.68186286103315",-170.15234171940733,false,UNKNOWN,budget 3594
travel permit 76612,"605.1689769770682","605.1689769770682",-0.9731493131400839,false,project 55557,budget 698
travel permit 73549,"1709.1596756874662","1979.272103997747",-270.11242831028085,false,UNKNOWN,budget 6198
travel permit 5238,"0.0","2457.3108324257146",-2754.2369781955454,false,UNKNOWN,budget 5239
travel permit 84670,"0.0","1659.729523981695",-1659.729523981695,false,project 44269,budget 974
travel permit 42137,"0.0","488.7590678156765",-687.9989646633444,false,project 3092,budget 2281
travel permit 11231,"0.0","101.91184297880662",-67.48508277424203,false,UNKNOWN,budget 11232
travel permit 72696,"0.0","523.1351723735364",-692.8949346109359,false,project 72270,budget 4366
travel permit 75063,"0.0","3904.3518847144887",-4226.760022257129,false,project 7837,budget 974
travel permit 83230,"0.0","1787.0132620923503",-1787.0132620923503,false,UNKNOWN,budget 922
travel permit 26065,"0.0","1482.1022923251792",-1160.4661835365368,false,UNKNOWN,budget 4602
travel permit 73838,"0.0","551.5677292026654",-540.7718352829304,false,project 2630,budget 2233
travel permit 78705,"0.0","340.59639846423414",-475.6435431523881,false,project 6266,budget 635
travel permit 50702,"0.0","296.0647473134034",-374.23033329762,false,UNKNOWN,budget 2976
travel permit 75303,"0.0","51.79342618797841",-51.79342618797841,false,project 72080,budget 6198
travel permit 68984,"0.0","443.9254716541251",-258.1485832218957,false,UNKNOWN,budget 33830
travel permit 33875,"0.0","63.66095321743808",-45.49158093110015,false,UNKNOWN,budget 1622
travel permit 27646,"0.0","0.0","0.0",false,UNKNOWN,budget 25328
travel permit 74321,"0.0","765.5759719747057",-531.1717886055635,false,UNKNOWN,budget 6198
travel permit 11130,"0.0","737.8940112886746",-358.67255289838494,false,UNKNOWN,budget 3960
travel permit 26540,"0.0","288.532133761497",-229.9255388461458,false,project 7444,budget 3559
travel permit 73001,"0.0","195.31609832476062",-198.24330059406782,false,UNKNOWN,budget 922
travel permit 81590,"0.0","0.0","0.0",false,UNKNOWN,budget 922
travel permit 50804,"0.0","3986.4901957638867",-3690.1144820293284,false,project 29298,budget 24171
travel permit 36615,"0.0","3120.4872255467903",-3506.3519394831033,false,project 1688,budget 1687
travel permit 45391,"0.0","191.76042946745565",-228.78676312510885,false,UNKNOWN,budget 1169
travel permit 74251,"0.0","1072.5757928907706",-1072.5757928907706,false,UNKNOWN,budget 922
travel permit 74465,"0.0","2940.308977954933",-2816.6007868662077,false,UNKNOWN,budget 922
travel permit 49286,"0.0","142.0787234234234",-100.62479630697351,false,UNKNOWN,budget 3042
travel permit 6197,"70.98977194674544","139.1956312681283",-25.58691689062975,false,UNKNOWN,budget 6198
travel permit 85731,"0.0","188.1726447631629",-196.0307103335551,false,UNKNOWN,budget 2351
travel permit 72728,"0.0","919.9598036235309",-946.9064684417847,false,project 12912,budget 1370
travel permit 72837,"0.0","517.2759589963226",-517.2759589963226,false,project 45201,budget 922
travel permit 65767,"0.0","1185.645810075589",-1668.7105839350543,false,project 62670,budget 3594
travel permit 13975,"0.0","5639.227815076333",-7822.195775947896,false,project 1382,budget 659
travel permit 8016,"0.0","1791.5724585615794",-1356.0597518365691,false,UNKNOWN,budget 2939
travel permit 34581,"0.0","1315.547061514507",-1162.8945201570243,false,UNKNOWN,budget 6626
travel permit 16891,"0.0","0.0","0.0",false,UNKNOWN,budget 3384
travel permit 16244,"0.0","4612.622972632335",-5350.039506461149,false,project 3442,budget 2351
travel permit 81996,"993.8019795826111","1035.8540495304073",-294.8602163297861,false,UNKNOWN,budget 3751
travel permit 46450,"0.0","545.7697003240694",-915.1721307539511,false,UNKNOWN,budget 425
travel permit 77800,"0.0","0.0","0.0",false,UNKNOWN,budget 3136
travel permit 75528,"0.0","648.3318453053496",-648.3318453053496,false,project 44269,budget 974
travel permit 47880,"0.0","327.48229847214026",-444.0646997454041,false,project 1028,budget 1027
travel permit 80887,"0.0","252.21830262293798",-252.21830262293798,false,project 76548,budget 440
travel permit 27548,"0.0","651.150116011384",-298.1598932516279,false,project 20418,budget 829
travel permit 29536,"0.0","279.4272280085978",-148.2590245158556,false,UNKNOWN,budget 29537
travel permit 9330,"0.0","179.70898141294853",-338.4938327226909,false,project 9331,budget 2414
travel permit 73535,"790.5520731899097","3627.3644383882497",-3589.7972919620897,false,project 2260,budget 899
travel permit 60505,"0.0","553.5174668735126",-683.6750815374827,false,UNKNOWN,budget 698
travel permit 52907,"0.0","1297.8790563737311",-1075.9943104287042,false,project 4971,budget 1313
travel permit 79415,"0.0","3642.9491317463167",-5133.782371548607,false,UNKNOWN,budget 475
travel permit 42480,"0.0","1467.5291506677881",-1859.4509391275978,false,project 20959,budget 1136
travel permit 73465,"0.0","1368.9149438974575",-1319.8255432680487,false,UNKNOWN,budget 16903
travel permit 77473,"0.0","57.80830012399668",-109.4295203376856,false,project 74087,budget 3136
travel permit 78425,"0.0","50.570485787678855",-103.15435160406409,false,project 26988,budget 3136
travel permit 28131,"0.0","2041.095981222756",-2562.4796631798663,false,UNKNOWN,budget 994
travel permit 75898,"0.0","648.4727329815036",-920.0542907373157,false,project 2642,budget 899
travel permit 24795,"0.0","712.3303729340756",-704.7376736828501,false,UNKNOWN,budget 24796
travel permit 76736,"0.0","634.5717808537095",-347.31037485331285,false,project 2872,budget 2233
travel permit 64727,"0.0","38.64105575465479",-36.83137848612113,false,UNKNOWN,budget 922
travel permit 41647,"0.0","260.0840291178688",-247.90350904119995,false,UNKNOWN,budget 922
travel permit 11136,"0.0","1251.0382555965812",-674.4076600677394,false,project 1028,budget 1027
travel permit 73065,"0.0","159.59556886364552",-278.55209966851316,false,UNKNOWN,budget 3825
travel permit 16925,"0.0","2576.019758465908",-2834.163488501786,false,project 7204,budget 3832
travel permit 65106,"0.0","2152.1303233155954",-1898.9812584363308,false,UNKNOWN,budget 65107
travel permit 64432,"0.0","688.115209638571",-796.5175668441899,false,UNKNOWN,budget 1313
travel permit 76796,"0.0","854.987196650077",-1465.5841305986382,false,UNKNOWN,budget 698
travel permit 74669,"0.0","1931.0777100454623",-1894.2687774496203,false,project 8993,budget 698
travel permit 73990,"0.0","689.0530333068277",-960.407510853899,false,UNKNOWN,budget 12141
travel permit 20557,"0.0","136.69720430717572",-159.88691179845927,false,project 16561,budget 16560
travel permit 78889,"0.0","2343.854285839368",-2740.0235103340965,false,UNKNOWN,budget 475
travel permit 36715,"0.0","1663.4602650343577",-2227.9344440164987,false,UNKNOWN,budget 7099
travel permit 39948,"0.0","556.7825250725132",-386.30675534950075,false,UNKNOWN,budget 6198
travel permit 71547,"0.0","960.3214049942649",-853.8487844911806,false,project 5137,budget 2233
travel permit 79947,"426.80371347697184","299.26534843557147","127.53836504140037",true,project 1400,budget 1399
travel permit 78100,"0.0","1760.683985932974",-1576.7462889764938,false,UNKNOWN,budget 6198
travel permit 23612,"0.0","622.1729145055282",-421.29588392447863,false,project 8586,budget 1969
travel permit 77405,"0.0","470.43399048930553",-484.2135349986399,false,project 1417,budget 1370
travel permit 80983,"0.0","4502.560143546244",-3270.9628553764637,false,project 34815,budget 475
travel permit 47958,"0.0","156.46982316102861",-89.62773201856754,false,project 2114,budget 2113
travel permit 85932,"0.0","799.9929830303191",-799.9929830303191,false,project 74744,budget 2351
travel permit 81226,"190.78775049363693","446.276031312943",-263.4687983007367,false,UNKNOWN,budget 3751
travel permit 83794,"756.4129931392873","1466.2254276622282",-1760.0294497898485,false,UNKNOWN,budget 6198
travel permit 81378,"0.0","1081.4472450910919",-621.0836973896576,false,UNKNOWN,budget 475
travel permit 73985,"0.0","362.63802214383907",-407.0920654678033,false,project 2872,budget 2233
travel permit 3091,"0.0","683.211600172451",-961.7189828627395,false,project 3092,budget 2281
travel permit 30700,"0.0","411.8690777334227",-1123.9154223458363,false,UNKNOWN,budget 1275
travel permit 47942,"0.0","1548.8507542139316",-1188.5849052654844,false,UNKNOWN,budget 3042
travel permit 11303,"0.0","98.43294946970947",-88.37443106823055,false,UNKNOWN,budget 3042
travel permit 73766,"0.0","854.1257305136021",-1008.4208838109295,false,project 73767,budget 440
travel permit 76844,"0.0","65.3493608504265",-58.27617540373598,false,UNKNOWN,budget 2233
travel permit 18989,"0.0","1966.419966124926",-1966.419966124926,false,project 12435,budget 698
travel permit 58954,"0.0","1491.6090706373313",-1244.5618542816512,false,project 13493,budget 522
travel permit 57397,"0.0","9193.57610537346",-3180.5243319634505,false,UNKNOWN,budget 922
travel permit 75785,"0.0","294.0818576331267",-253.7197342671092,false,project 72041,budget 475
travel permit 58715,"1375.2402645611564","1827.388354580124",-898.9669637161387,false,project 18960,budget 684
travel permit 61577,"0.0","1821.5092252745235",-2059.374429616817,false,UNKNOWN,budget 1969
travel permit 81489,"510.10909561705876","867.2643047585234",-471.1147776765158,false,UNKNOWN,budget 698
travel permit 72202,"0.0","196.8345349318295",-343.5475895911663,false,UNKNOWN,budget 1956
travel permit 20074,"0.0","660.1188643249106",-444.26939935896036,false,project 18594,budget 1021
travel permit 72806,"0.0","2058.325036369186",-1620.537219911813,false,UNKNOWN,budget 3424
travel permit 76481,"2902.5048910919395","2176.8786683189546","946.8858433885468",true,project 57099,budget 2233
travel permit 44637,"0.0","37.89795852860374",-36.12308274600342,false,UNKNOWN,budget 922
travel permit 73509,"2309.588946169222","2955.263931830256",-120.13254171090057,false,project 33979,budget 529
travel permit 69534,"0.0","962.9978236478498",-686.7379137333345,false,UNKNOWN,budget 3678
travel permit 67407,"0.0","75.14416822228773",-31.666673987849773,false,UNKNOWN,budget 1865
travel permit 76271,"0.0","3215.271457121155",-3233.6557917672617,false,project 2073,budget 1644
travel permit 38300,"0.0","170.20505813191969",-168.7395780497386,false,project 11948,budget 5349
travel permit 60165,"0.0","456.7581649997551",-360.288020774974,false,project 27975,budget 475
travel permit 76590,"0.0","3033.253112480731",-1660.1435917988354,false,UNKNOWN,budget 2233
travel permit 73834,"0.0","931.4221665871751",-931.4221665871751,false,project 50320,budget 6198
travel permit 40362,"0.0","2398.4829992163095",-2297.571157836808,false,UNKNOWN,budget 922
travel permit 74613,"0.0","822.4213597372351",-761.2540418716715,false,UNKNOWN,budget 58657
travel permit 77132,"0.0","574.0672281770107",-441.75430690441874,false,project 17911,budget 6198
travel permit 86447,"1825.295716771801","1000.5536867512267",-248.9039613779728,false,project 2210,budget 440
travel permit 24264,"0.0","556.3666342322338",-233.6395729253463,false,UNKNOWN,budget 24265
